ID,English,Others,Japanese
toolobj5,5) EMF Reader,5) Horny Reader,5)EMFリーダー
toolobj6,6) Ghost Book,6) Ghost Book,6)ゴーストブック
toolobj7,7) Audio Box,7) Ghost Box,7)オーディオボックス
toolobj8,1) Cursed Dagger,1) Cursed Dildo,1)呪われたダガー
toolobj9,2) Cum Salt,2) Cum Salt,2)精液塩
toolobj10,3) Dark Mirror,3) Dark Mirror,3)黒い鏡
toolobj11,4) Special Rope,4) Sex Rope,4)特別なロープ
toolobj12,5) Cum Water,5) Cum Water,5)精液水
toolobj13,6) Candles,6) Candles,6)キャンドル
toolobj14,1) Flour,1) Flour,1)小麦粉
toolobj15,2) Incense Sticks,2) Incense Sticks,2)お線香
toolobj16,3) Motion Camera,3) Motion Camera,3)写真カメラ
toolobj17,4) Honey Burgers,4) Honey Burgers,4)ハニーバーガー
toolobj18,5) Fear Pills,5) Sex Pills,5)恐怖の薬
toolobj19,6) Energy Can,6) Energy Can,6)エネルギー缶
toolobjuse1,Can confirm ghost orbs in a ghost room. Use your computer to access video camera(use night-vision).,Spy on ghosts from the truck. Can see orbs.,ゴーストルームでオーブを見つけるために使用します。コンピュータ経由でアクセスできます。(ナイトビジョンでのみ表示されます)
toolobjuse2,You can find ghost room with it. It usually have lower temperature than others.,Are ghost hot? Maybe not. Measures temperature in a room.,それを使用してゴーストルームを見つけます。ゴーストルームは他の部屋に比べて温度が低くなります。
toolobjuse3,"Can find UV prints on doors, windows and other objects.",Find some naughty prints made by ghost.,窓、ドア、その他のオブジェクトへの UV プリントをご覧ください。
toolobjuse4,Can confirm laser projection. Turn it on and observe it with video camera.,Can confirm laser projection. Turn it on and observe it with video camera.,幽霊によって作られたレーザーの幻影をご覧ください。照明が消えているときのほうがよく見えます。
toolobjuse5,Can capture EMF reading produce by an ghost after interacting an object.,Measures level of horniness in a ghost.,幽霊のような活動によって生成された EMF レベルを読み取ります。
toolobjuse6,Can get writing evidence with it. Place it near ghost room to get better results.,Let ghost express themselves on it.,書き込みの証拠を得ることができます。より良い結果を得るには、ゴーストルームの近くに置きます。
toolobjuse7,Can capture ghost's audio response with it. Try using it near or in ghost room.,Converts ghostly whispers into simple intentions.,幽霊があなたの前を通過したときに、幽霊の音声応答をキャッチします。
toolobjuse8,Plunge it inside a ghost while it's idle at the start of a hunt.,Shove it in a ghost's ass while it's about to hunt.,狩りの初めに幽霊の中にそれを突っ込みます。
toolobjuse9,Must damage a ghost by spilling it on the floor. Has 2 secs cool down,Must damage a ghost by spilling it on the floor. Has 2 secs cool down,それを床に注ぐと、その上を通過するゴーストにダメージを与えます。
toolobjuse10,Stand in front of big mirrors and press ‘Use’ to cast cursed rays.,Stand in front of big mirrors and press ‘Use’ to cast cursed rays.,大きな鏡の前に立って「使用」キーを押して光線を放ちます。
toolobjuse11,Repeatedly press ‘Use’ near ghost at the start of the hunt.,Repeatedly press ‘Use’ near ghost at the start of the hunt.,狩りの開始時に「使用」を繰り返し押してゴーストを捕まえます。
toolobjuse12,Throw it on a ghost chasing you to knock it down.,Moisten ghost up a bit before sex.,ゴーストに水をかけてノックします。
toolobjuse13,Place two within 3.5m range of a ghost while it's getting ready to hunt.,Place two within 3.5m to burn ghost cloths.,狩りの開始時にゴーストをノックダウンするには、ゴーストから 3.5 メートルの範囲内に 2 本のキャンドルを置きます。
toolobjuse14,Confirm flying characteristics of a ghost.,Confirm flying characteristics of a ghost.,ゴーストの飛行特性を確認する。
toolobjuse15,Can make a quick getaway if captured by a ghost. Can also use it to delay hunt for 60 seconds.,Can take a break during sex or delay sex for 30 seconds.,幽霊に捕まった場合にそれを使って逃げましょう。ゴーストルームで使用すると、狩りを 30 秒遅らせることもできます。
toolobjuse16,Place it near ghost room to complete an optional objective.,Take some sexy photos of ghosts.,それを使用して写真の目的を完了します。
toolobjuse17,These burgers have healing properties Heals 25 points of your health.,Only HTA player know origin of this honey. Heals 25 HP.,体力の 25% を回復します。
toolobjuse18,"Upon consumption, makes you fearless reducing fear meter.",Soothes fear of rejection by a ghost.,恐怖を 25% 軽減します。
toolobjuse19,Gives you infinite running stamina for 90 secs.,Can run to your girl's house with breaking a sweat if she is alone.,90秒間スタミナを使わずに走ります。
