ID,English,Others,Japanese
ghost7talkb3,(Writing on book...) It's feels great to lose your virginity to a huge cock. If would have been more fun if you didn't use this special protection.,(Writing on book...) It's feels great to lose your virginity to a huge cock. If would have been more fun if you didn't use this special protection.,....
ghost8talka1,Oh sweetie! I still remember the day I help you lost your virginity. I'm gonna enjoy my time with you before I snap your thing.,Oh sweetie! I still remember the day I help you lost your virginity. I'm gonna enjoy my time with you before I snap your thing.,ああ、可愛い子!初めてやったときのことを覚えてる?今からあなたのチンポを自分のものにするよ。
ghost8talka2,Yours will be another addition to my collection of cocks once I'm done playing with you.,Yours will be another addition to my collection of cocks once I'm done playing with you.,あなたとの関係が終わったら、あなたのものは私のペニスのコレクションにまたひとつ加わるでしょう。
ghost8talka3,Oww..... what's with terrified look honey? Aren't you happy that we are having sex? Don't worry! I will be gentle while ripping it off.,Oww..... what's with terrified look honey? Aren't you happy that we are having sex? Don't worry! I will be gentle while ripping it off.,なぜそんなに心配するのですか？引き裂くときは優しくします。
ghost8talkb1,Oh.. honey! Why are you doing all the efforts? Just sit back and let me take over. Or are you scared? Hehe...,Oh.. honey! Why are you doing all the efforts? Just sit back and let me take over. Or are you scared? Hehe...,ああ、ハニー!なぜそんなにたくさんの仕事をしているのですか?私に引き継がせてください。ふふ…
ghost8talkb2,Fucking my ass like this will temporarily hold me captive but... it's fun. You can continue pounding it.,Fucking my ass like this will temporarily hold me captive but... it's fun. You can continue pounding it.,私の尻を叩いても私を永遠に保持することはできません。私はあなたのペニスのために戻ってきます。
ghost8talkb3,You are very smart kid. You are using your legs keep my ass wide open so I wont squeeze your dick. Looks like I won't be collecting your dick tonight.,You are very smart kid. You are using your legs keep my ass wide open so I wont squeeze your dick. Looks like I won't be collecting your dick tonight.,あなたは賢い男の子です。あなたが私を性交している間、あなたの足で私の尻を大きく開いたままにしてください。
ghost8talkc1,Just sit back and let Mommy take care of you. Enjoy it while you can.,Just sit back and let Mommy take care of you. Enjoy it while you can.,座ってママに世話をしてもらいましょう。
ghost8talkc2,Oh my! You hit your head when I was taking over. It's better! You won't feel any pain afterwards.,Oh my! You hit your head when I was taking over. It's better! You won't feel any pain afterwards.,ああ、頭を打ったね!それは良かった!痛みは感じないだろう。
ghost8talkc3,I know you'd give up at some point. Now just stay down and let me ride your cock.,I know you'd give up at some point. Now just stay down and let me ride your cock.,あなたが諦めるのはわかっています。さあ、あなたのペニスに乗らせてください。
ghost9talka1,Why are you trying to capture me? I will give you a handjob like this everyday if you leave me alone.,Why are you trying to capture me? I will give you a handjob like this everyday if you leave me alone.,なぜ私を捕まえようとしたのですか？こんな手コキしたくないのですか？
ghost9talka2,You are amazing! You know how to use a tongue to pleasure a lady.,You are amazing! You know how to use a tongue to pleasure a lady.,あなたは素晴らしいです!女性を満足させるための口の使い方を知っています。
ghost9talka3,"Yes, keep licking my pussy like that. It's feeling so good.","Yes, keep licking my pussy like that. It's feeling so good.",はい、そうやって私のオマンコを舐め続けてください。とても気持ちいいです。
ghost9talkb1,Ah! Not to rough! I've never been fucked by a huge dick like yours.,Ah! Not to rough! I've never been fucked by a huge dick like yours.,乱暴ではありません...私はあなたのような巨大なペニスを持ったことはありません。
ghost9talkb2,Oww.... please be gentle... If you continue like this I will.... I will die again.,Oww.... please be gentle... If you continue like this I will.... I will die again.,ああ....優しくしてください。私のアソコの中にまた火を起こそうとしているのですか？
ghost9talkb3,"Please let me go... I will give you a handjob you never had in your life. I promise, please.","Please let me go... I will give you a handjob you never had in your life. I promise, please.",ああ....私を解放してください。あなたが経験したことのない手コキをしてあげる、約束します。
ghost10talka1,"Huh... you look pale. Are you scared of me? Oh, wait! All your blood is being pumped into your dick. Hehe... Don't worry! The faster you cum the faster you get break my curse.",I used my magic to make your dick bigger and increase your cum production. There is not enough blood in your body to support this massive cock.,あなたは青白く見えます。あなたの血液はすべて、あなたの巨大なコックをサポートするために汲み上げられています。あなたが早く絶頂するほど、より早くこの呪いを取り除くことができます。
ghost10talka2,There are no giants or orc alive in this timeline. I have to curse you to make your dick as big as a half giant.,I followed my older sister footsteps into getting railed by giants and orcs back in my day.,あなたのペニスは半分巨人ほど大きくなる可能性があります。もしこれ以上大きくなったら、あなたは生き残れないと思います。
ghost10talka3,There is no escape once I got you on my sights. I'm gonna milk hatful of cum from you. I will dump it in my cum collection and will be back for more. Hehe...,You can't run away until I squeeze every last drop of semen from your balls. Do you see this hat over my head? I want you to fill it up before I'm done with you.,あなたを絞り出すまで、私の視界から逃れることはできません。あなたの精液を私の帽子の中に放り込んでください。
ghost10talkb1,"Oh, my... you are an absolute genius. Why didn't I think of this? Maybe this was the reason my sister let humans prevail.",Fuck! You are genius. Try making a third clone to keep my mouth busy.,あなたは絶対的な天才です。なぜ私はこれを思いつかなかったのですか？
ghost10talkb2,Please... make more clones of you. I wanna used by so many cocks. Cover my entire body with your cum.,Why don't you make more clones? I wanna keep getting railed by you all night.,あなたのクローンをもっと作ってください。犯されるのをやめたくないのです。
ghost10talkb3,Oww.... you are being too rough. Are you mad at me for giving you a curse earlier?,Why so rough? Are you mad I gave you a curse last time?,ああ...乱暴すぎるよ、私があなたに呪いをかけたことに怒っているの？
ghost10talkb4,Ohh... so you are Lust's apprentice. No wonder you are so smart. She is always so picky when it comes to select her pupil. Don't tell her what you did here or she will be mad at you.,Don't tell my sister Lust I took her share of cum from you. She will be pissed at both of us.,それで、あなたは私の妹の弟子です。あなたがとても賢いのも不思議ではありません。うーん...私たちがやったことについては言わないでください、そうでないと彼女は私たちに怒るでしょう。
ghost11talka1,Fuck! My dick is between her boobs. They are so soft and squishy I can't control myself.,Fuck! I can't resist but slide my dick between her huge boobs.,....
ghost11talka2,No... I'm must not cum on her face. I will become a ghost like her.,Even if this kills me I'm gonna keep ramming it over her boobs.,....
ghost11talka3,"She is keeping my hands busy. Is she planning to make me a ghost like her? Fuck, no. I don't wanna die.",Fuck! Even if she make me a ghost I'm still fucking her instead of a human. I mean who could resist her.,....
ghost11talkb1,Take that! Now you no longer wish to make me a ghost huh. You have thought that before trying it.,Yeah! I love to pound that ghost pussy like that. I can fuck her as much as I want now that I have protection.,....
ghost11talkb2,Damn it! I wish she had a mouth. My ears are yearning to hear her sweet moaning.,Damn it! I wish she had a mouth. My ears are yearning to hear her sweet moaning.,....
ghost11talkb3,She is too light. I can effortlessly fuck her for hours. Keep your ghostly hips moving.,She is too light. I can effortlessly fuck her for hours. Keep your ghostly hips moving.,....
ghost11talkc1,What the! Why am I not able to move? Is this her power. I have sensation only around my dick.,Ahhh.... just sitting back and enjoying a hot ghost riding on your dick. What else a man could want?,....
ghost11talkc2,I can feel my life slipping away out of my body. She is so hot but I would not like to die for her pussy.,I won't regret if I die like this. I will at least go away happily.,....
ghost11talkc3,"Ohhh.... this is feeling best and worst at the same time. Arggghhh! Come on, let me put on my ghost condom first.",This is the only animation where I speak instead of a ghost because this ghost don't have face. I know Weseen also don't but she writes stuff.,....
ghost12talka1,Come on... I know you work with the ring man. Just tell us where he is hiding and I will make it stop.,I have seen human going weak after ejaculating so... I doing this hurts them.,あなたがリングマンと協力していることは知っています。彼がどこにいるのか教えて、そうすれば私は止まります。
ghost12talka2,Terverpe namahu! You love to get smothered to death like this.,"I know if you die, you will be happy to go away like this.",なんて変態人間なんだ！彼はこうやって窒息死するのが好きだ。
ghost12talka3,*cough* Almost choked myself there. Come on spill the beans or this is not going to stop.,It’s so big. I can’t even fit it whole inside my mouth.,（咳...）窒息しそうになった。あなたのペニスはとても大きいです。口にも入りません。
ghost12talkb1,"Ahhh! Ym ssa! At least, pull the rope out of my butt. It's hurting me.","Hey, do you really need to keep that thing in my butt. It’s hurting you know.",お尻が痛い！少なくともそのロープを外してください。
ghost12talkb2,You know our weakness. I'm sure you work with the ringman and his lover. She plug this rope inside my ass giving ringman time to escape from me. Fuck! Stop... Sis I need your help.,"Yes, suck my one tit with your mouth and keep pinching the other one. It will hamper my abilities. This way, if my sister ask me anything I can give her some excuse.",どうやって私たちの弱さを知っているのですか？あなたはリングマンと協力しているに違いありません。他に説明はありません。
ghost12talkb3,Sis... this human is copulating with me. Help! He is milking my breast like crazy. I can't use my powers.,I need to drink a lot of milk to replenish the amount I have lost in past 5 minutes. It’s impossible produce this much milk but... it’s an erotic game so anything is possible.,お姉さん、助けて！この人間は私と交尾しています。彼は狂ったように私の胸を搾り取っています。
ghost12talka11,Yu dratasb! You help ringman defeat my sister. Now all she wants is copulation with him. To avenge her I gonna shock your member even harder now.,Sister now loves getting railed by ringman. I can’t believe it. Maybe she was planning this from the beginning.,
ghost12talka12,"Enjoy this! I'm gonna leave you so weakened, you will wish you never helped ringman.",I can’t even talk to her. Her minds feels empty. Maybe she is having time of her life out there.,
ghost12talka13,Sthi si rfo ym rtessi! I knew you worked with ringman. I wish my sister believe me and not fall for that trick. She thought they would send that girl to trick us.,How could one would fall for that trick? I know she is into all this. What other explanation is there?,
ghost12talkb11,Ahhh! I have no choice but to endure it. My sister no longer want to hunt with me. Both of us going to be a joke for bearing a human child.,"Hey, do you really need to keep that thing in my butt. It’s hurting you know.",
ghost12talkb12,Oww... at least pull that thing out of man ass. Now I know why the elders asked us to be careful when dealing with humans.,"Yes, suck my one tit with your mouth and keep pinching the other one. It will hamper my abilities. This way, if my sister ask me anything I can give her some excuse.",
ghost12talkb13,Ohhh... all this pinching is making me lactate so bad. I will not be able to use my power after you drain all the mile from my breasts.,I need to drink a lot of milk to replenish the amount I have lost in past 5 minutes. It’s impossible produce this much milk but... it’s an erotic game so anything is possible.,
ghost13talka1,"Ohhh... look, how much you have came until now. I can tell your balls are almost empty. It doesn't matter if you are ghost hunter or not. I can squeeze out everyone.","Ohhh... look, how much you have came until now. I can tell your balls are almost empty. It doesn't matter if you are ghost hunter or not. I can squeeze out everyone.",あら...あら...あなたがどれだけ絶頂するかを見てください。あなたのボールはほとんど空です。あなたがゴーストハンターであるかどうかは関係ありません。私は誰でも絞ります。
ghost13talka2,We have a smart fellow here... You strip yourself naked so you will not be under my control for too long. It doesn't matter. I will milk you dry by the time you come back to your senses.,We have a smart fellow here... You strip yourself naked so you will not be under my control for too long. It doesn't matter. I will milk you dry by the time you come back to your senses.,ここには賢いゴーストハンターがいます。私があなたを捕まえるとすぐにあなたは裸になりました。そのせいで私はあなたを完全にコントロールすることはできません。
ghost13talka3,"Poor human, lusting after me. The more you have sex with me the more you will feel tired for days. Come on stay still! You will not die. Just feel a little tired, that’s it.","Poor human, lusting after me. The more you have sex with me the more you will feel tired for days. Come on stay still! You will not die. Just feel a little tired, that’s it.",私のような悪魔に欲情する愚かな人間。その代償は自分の健康で支払うことになります。
