ghostname5,Bloody Mariam,Bloody Mariam,ブラッディももえ
ghostname6,Bansheep,Banshee,バンシープ
ghostname7,Weseen,Gwisin,ヴェーゼーン
ghostname8,Tall Lady,Hachishakusama,それは背の高い女性
ghostname9,Willy-Wisp,Onibi,炎の幽霊
ghostname10,Conjurer,Conjurer,魔術師の出現
ghostname11,You-Rei?,Yurei,ヨウ・レイ？
ghostname12,Thundergirl,Rai-onna,雷女
ghostname13,Suck-ass-bee,Succubus,傘
ghostname14,Mad Nurse,Mad Nurse,双子の看護師
ghostname15,Cone-Cone,Kunekune,コーンコーン
ghostname16,Cookiesaki Lady,Kuchisake-onna,クッキーサキレディ
ghostname17,Umbrella,Kasa-obake,サキュバス
ghostname18,Talk-Talk,Teke-teke,トークトーク
ghostname19,Oh-Baker,Obake,オー・ベイカー
ghostname99,Spirit,Ghost Girl,傘
ghostabititle,Known Habits :-,Known Habits :-,既知の習慣:-
ghostweaktitle,Weakness :-,Weakness :-,弱点:-
ghostinfo0,Friendliest ghost I have met until now. I found her during my first contract in an abandoned shed. She was traumatized by someone. Now she lives in my basement and help me improve my ghost hunting skills.,She fucking cute than Tsukiko. I'm glad LAGS have plans for me to end up with her. Until then I have to waste special condoms to fuck her.,彼女は私が会った中で最もフレンドリーな幽霊です。私は最初の契約中に放棄された小屋で彼女を見つけました。彼女は何かにトラウマを負っていた。
ghostinfo1,Extremely powerful ghost know to move around heavier objects. It really loves to play around with it's surrounding objects. Sometimes throws people across the room.,"She has psychic powers and can show you the meaning of 'Love in the Air'. She can fly around when having sex. Despite her strength, her body is quite soft and squishy.",より重い物体の周りを移動することで知られる非常に強力なゴースト。彼女は周囲で遊ぶのが大好きです。時々プレイヤーを地面から持ち上げることがあります。
ghostinfo2,"It is a powerful ghost that can move heavy objects. It also seem to have fond of water. You often see empties water glass, running sink water and puddle formation on a ground.","Who knew a dive in some radio-active lake could create something unique. She enjoys hurting her partner during sex. Her skin is quite rough and peel off your skin. On the other hand, her groin area is much softer. She also pees on floor a lot.",それは水を愛する強力な幽霊です。地面に水たまりができているのをよく見かけます。
ghostinfo3,"This dark entity uses a mask to hide it's face. It's rarely seen doing any actual activity. It prefers dark and frequently turn of light switches, power breaker or extinguish any candle within it's path.",This shy and horny ghost girl loves to attack her victim in the dark. She may add many light bulbs to your expense list. Other than that she is a harmless ghost and must have if you live in dark.,この黒い実体はマスクで顔を隠しています。彼女はめったに活動をしません。彼女は暗闇が大好きなので、邪魔になる光源や電源を消したり、ろうそくの火を消したりします。
ghostinfo4,A vampire with long hairs covering her face. She is known to sucks life out of her victim during copulation. Sometimes she can hurt someone badly enough that hospitalization is needed.,A beautiful ghost that love to suck blood out of your mount while riding on your cock. People who managed to plunge a cursed dagger in her ass now get best blowjobs in their lives.,顔は髪の毛で覆われていますが、世界で最も美しい幽霊と言われています。彼女はセックス中に被害者の口から血を吸います。場合によっては、被害者は入院する必要があるかもしれません。
ghostinfo5,"A ghost that loves to admire her looks in the mirror. She is known to interact with cameras a lot. During hunt, she is stays near a mirror and doesn't move through out the whole hunt.",She is daughter of the tall lady ghost. Like her mother she loves it when someone does it in her ass but hate when someone uses her pussy.,鏡が大好きな幽霊。彼女は写真をたくさん撮るのが好きです。狩りの間、彼女はプレイヤーを待ち伏せするために一か所に留まります。
ghostinfo6,A Ghost that loves to lure unsuspecting victims to her with sweet voice only to make them suffer later with a horrific scream while she rides them.,She loves to scream at your face while riding you. Some with earplugs can have fun time with her.,この幽霊は甘い声で被害者を誘惑しますが、後で彼らのペニスに乗りながら悲鳴をあげて被害者を苦しめます。
ghostinfo7,A mischievous ghost to love to give boobjob to sleeping human at night. She prefers darkness to do her deed and often tries to turn off the breaker.,This ghost girl loves to give free boobjobs.  Could be my least favourite ghost after Kappa.,あなたにおっぱいコキをするのが大好きないたずらな幽霊。彼女は暗闇の中で作業するのが好きなので、頻繁に電源を切ります。
ghostinfo8,She is not a ghost but mimics one. She like to kidnap young men for her pleasure. Once you turned 18 you don't wanna be alone in your room or she will haunt you. Avoid going out at night. She might be just around the corner waiting to pounce on you.,She is an evil clone of Mrs. Hillford with ghostly abilities. She is fast and can teleport to begin hunt from another place.,彼女は幽霊ではありませんが、幽霊の真似をするのが好きです。18歳以上の場合、背の高い女性の幽霊が出るエリアでは決して自分の部屋に一人でいないでください。彼女はテレポートしてあなたと遊んだり、あなたに襲いかかったりします。
ghostinfo9,Usually harmless ghost until she sets her sight on you. She is relentless at chasing her prey. She is the fastest ghost known but luckily slows down when she is near you. She hates fire sources.,Usually harmless ghost until she sets her sight on you. She is relentless at chasing her prey. She is the fastest ghost known but luckily slows down when she is near you. She hates fire sources.,通常は無害な幽霊ですが、一度あなたに目を向けると、近づくまで猛スピードで追いかけます。彼女は火源が嫌いです。
ghostinfo10,She calls herself a mage. Known to kidnap men to make them her cum source. Once she set her eye on you she won't rest until she get what she wants. Places affected by her presence have different exits sometimes. She is also known to fool ghost hunters with fake evidence.,Lust is her older sister. She invites you to different places for sex and to collect your cum. She can sometimes teleport you to different location and create fake evidence.,彼女は自分自身を魔術師と呼んでいます。あなたに会ったら、彼女は欲しいものを手に入れるまで止まらないでしょう。時々出口ポイントを変更して被害者を混乱させます。彼女は偽の証拠でゴーストハンターを騙した。
ghostinfo11,This ghost like to replicate itself by engaging in sexual act. They are difficult to catch as they need different tools. You-Rei creating blue flame are weak to candle and the one creating reddish flame are weak to cursed dagger. Always keep the ghost room's light on.,This ghost like to replicate itself by engaging in sexual act. They are difficult to catch as they need different tools. You-Rei creating blue flame are weak to candle and the one creating reddish flame are weak to cursed dagger. Always keep the ghost room's light on.,さまざまな道具が必要なため、捕まえるのは困難です。青い炎を出している場合はロウソクに弱く、赤い炎を出している場合は短剣に弱い。
ghostinfo12,"This demon is wandering around for a purpose. Nevertheless, she still causes nuisance to everyone. As a paranormal investigator it's our job to deal with this menace. With breaker ON in a site she can move swiftly. One blink and she is right in front of your face.",Fuck the younger sister and help Masuo to fuck the elder one. Put rope in his apartment and lock the door whenever she enter it.,幽霊ではありませんが、確かに幽霊のようなものです。若い子はその場所に出没し、年長の子はただ誰かを探して歩き回っています。
ghostinfo13,This demon is often seen playing with her victim while they are sleeping. It is said that if you have sex with her it's like a best feeling and eventually it becomes an addiction. You feel more tiresome with each sexual encounter with her. Always sleep naked to avoid her.,Don’t fuck around when dealing with her. She will go mad and you might not be able to catch her as she has resistance to cum water.,この悪魔は、最初に夢の中で眠っている犠牲者と遊んでいるのが見られます。被害者が目覚めると、彼女はその体を支配し、その結果、彼とのセックスが終わるまで完全に麻痺します。
ghostinfo14,?????,?????,?????
ghostinfo15,?????,?????,?????
ghostinfo16,?????,?????,?????
ghostinfo17,?????,?????,?????
ghostinfo18,?????,?????,?????
ghostinfo19,?????,?????,?????
ghostinfo99,A group of students were having party at an abandoned shed. One of them performed some kind of ritual angering the spirit there. They left there friend in hurry and are too scared to back to save her. Having no other option they contacted me to handle this situation.,I found the spirit of my future wife in an abandoned shed. Unfortunately I have to wait until Mayscape Apartment update is launched to replace her with Tsukiko.,学生のグループが廃屋で幽霊を召喚しようとした。本物の幽霊が現れると、彼らは皆怖がって、それを追い払い、居眠りしている友人を救うために私に連絡しました。
ghostability0,"Ghost flames, small objects and painting movement.","Ghost flames, small objects and painting movement.",幽霊の炎、小さな物体が動く。
ghostability1,"Very active, can throw someone off the ground, push heavy objects.","Very active, can throw someone off the ground, push heavy objects.",非常に活発で、プレーヤーを持ち上げたり、重いものを押したりします。
ghostability2,"Very active with bodies of water, puddle formation on ground, push heavy objects.","Very active with bodies of water, pees on floor, push heavy objects.",水たまりの形成、重量物の持ち上げ。
ghostability3,"Destroy light bulb, never turns on a light, less active, late hunt.","Destroy light bulb, never turns on a light, less active, late hunt.",電球が壊れ、照明のスイッチが入らず、活動性が低下し、狩りが遅くなります。
ghostability4,"Apparition in mirrors, no walking sound, can fail contract early, drinks blood, madness blight.","Apparition in mirrors, no walking sound, can fail contract early, drinks blood, madness blight.",鏡の幻影、歩行音なし、契約失敗の可能性あり、近くを通過するとHPが消耗します。
ghostability5,"Apparition in mirrors, appears in front of camera, sometimes teases it’s victim.","Apparition in mirrors, appears in front of camera, sometimes teases it’s victim.",鏡の亡霊がカメラの前に現れ、プレイヤーをからかいます。
ghostability6,"No walking sound, not visible during hunt, can hunt early, bloody claw marks.","No walking sound, not visible during hunt, can hunt early, bloody claw marks.",歩く音はなく、狩りの際にはほとんど見えず、早く狩りをすることができ、血の爪痕があります。
ghostability7,"Apparition in mirrors, never turns on a light, can hunt early or late depending on power breaker.","Apparition in mirrors, never turns on a light, can hunt early or late depending on power breaker.",鏡の幻影、照明スイッチを決してオンにしない、電源に応じて早くまたは遅く狩ることができます。
ghostability8,"Can super hunt early, randomly teleports if not in a pursuit, move heavy objects, mirror apparition, faster ghost, longer hunt, madness blight.","Can super hunt early, randomly teleports if not in a pursuit, move heavy objects, mirror apparition, faster ghost, longer hunt, madness blight.",超早期の狩り、追いかけていないときのテレポート、重い物体の移動、鏡の幻影、高速、長時間の狩り。
ghostability9,"Teleports near you on a pursuit, ghost flames, slow down if near player, a lit candle will anger her, no walking sound.","Ghost flames, fast ghost but slows down if near player, a lit candle will anger her, no walking sound.",追いかけるとあなたの近くにテレポートし、幽霊の炎が現れ、火のついたキャンドルが彼女を狩ります、歩く音はありません。
ghostability10,"Hunt never stops if player is seen, rarely teleport player away, a fake evidence.","Hunt never stops if player is seen, rarely teleport player away, a fake evidence.",プレイヤーが見つかれば狩りは決して止まらず、まれにプレイヤーをテレポートさせ、偽の証拠を残します。
ghostability11,"Longer sex duration, create flames, no sound on hunt, chance of early hunt, floating.","Longer sex duration, create flames, no sound on hunt, chance of early hunt, floating.",長いセックス時間、幽霊の炎、狩り中に音が出ない、早い狩りの可能性、浮遊。
ghostability12,"Electric shock on switches, flight, extremely fast with electricity, moves heavy objects.","Electric shock on switches, flight, extremely fast with electricity, moves heavy objects.",照明スイッチの感電、飛行、電源を入れた状態での超高速移動、重量物の移動。
ghostability13,"Speeds up after seeing player, claw marks, flight, fatigue blight, secret method to lure out.","Speeds up after seeing player, claw marks, flight, fatigue blight, secret method to lure out.",爪痕、飛行、疲労の呪い、プレイヤーを見つけるとスピードアップ。
ghostability14,?????,?????,?????
ghostability15,?????,?????,?????
ghostability16,?????,?????,?????
ghostability17,?????,?????,?????
ghostability18,?????,?????,?????
ghostability19,?????,?????,?????
ghostability99,"Light switching, falling paintings, moving small objects.","Light switching, falling paintings, moving small objects.",ライトの切り替え、絵画、オブジェクトの動き。
ghostweakness1,Cummed Water,Cummed Water,精液水
ghostweakness2,Two Candles,Two Candles,2本のキャンドル
ghostweakness3,Dark Mirror,Dark Mirror,黒い鏡
ghostweakness4,Cum Salt,Cum Salt,精液塩
ghostweakness5,Special Rope,Special Rope,特別なロープ
ghostweakness6,Cursed Dagger,Cursed Dagger,呪われたダガー
evidentitle,  Evidences:-,  Evidences:-,証拠:-
eviname1,UV prints,UV prints,紫外線マーク
eviname2,Laser Apparition,Laser Apparition,レーザーの外観
eviname3,Ghost Orbs,Ghost Orbs,ゴーストオーブ
eviname4,Writing,Writing,書き込み
eviname5,Freezing Temperature,Freezing Temperature,氷点下温度
eviname6,Audio Response,Audio Response,音声応答
eviname7,EMF Lvl. 4-5,EMF Lvl. 4-5,EMFレベル4-5
ghostnameun,Unidentified,Unidentified,正体不明の
general,General,General,一般的な
investigation,Investigation,Date Ghost,調査
tools,Tools,Sex Toys,ツール
others,Others,Others,その他
tablecontent,Table Of Contents:-,List of Contents:-,目次：-
loadlevel,1.Loading A Level.,1.Go on a Date,1.レベルをロードする
elements,2.On-screen Elements,2.On-screen Elements,2.画面上の要素
topui,A.Top UI,A.Top UI,A.トップUI
icons,B.Icons,B.Icons,B.アイコン
buyequip,3.Buy Equipments,3.Buy Toys,3.機器を購入する
homecomp,4.Home Computer,4.Homework Computer,4.自宅のコンピューター
cctvcomp,5.CCTV Computer,5.Recording Computer,5.CCTVコンピュータ
ghostrel,6.Ghost Related,6.Date related,6.ゴースト関連
hauntroom,A.Haunt Room,A.Picking Room,A.部屋に出没する
wanderstate,B.Wandering State,B.Wandering Date,B.放浪状態
huntstate,C.Hunting State,C.Fuck Time,C.狩猟状態
evadedate,D.Evading ghost,D.Ghosting Date,D.回避幽霊
loadleveltitle,Loading A Level:-,Go on a date:-,レベルのロード：-
loadlevelexp,Interact with notice board in HQ hall. It will open up this menu. Select a contract you want to play and click on Let's Go! button. Some contract requires a pass before you can play them. Unlocking more contracts increases types of ghosts.,Go to your date board and pick date to go on and then press ‘Let’s Go!’ button. Some dating site requires you to have pass so you will need to by them before going there.,本部の掲示板と対話してレベルを選択します。プレイしたい場合は、一部の契約のロックを解除する必要があります。契約のロックが解除されるほど、利用できるゴーストの種類が増えます。
topuititle,Top UI:-,Top UI:-,トップUI：-
topuiexp1,The three bars on top represent different things.,The three bars on top represent different things.,異なる統計を表す 3 本のバーがあります。
redbar,Red Bar: Indicate how much health is left. Reduces if ghost catches you for sex.,Red Bar: It indicates how much rough sex your dick can handle.,赤いバー:現在の健康状態を示します。
bluebar,"Blue Bar: Indicates fear status. It increase as the game is progress. Higher fear status means, ghost is likely to hunt. It must be more and 50% before a ghost can hunt.",Blue Bar: How much time before your date becomes restless for sex.,青いバー:恐怖を示します。高いほど、幽霊が狩りをする可能性が高くなります。
greenbar,Green Bar: Shows how much stamina is left.,Green Bar: How long you can run or fuck your date.,緑色のバー:スタミナを示します。
emficon,Displays EMF lvl if in range of the device.,Displays EMF lvl if in range of the device.,デバイスを保持している場合の EMF レベルを示します。
audoboxicon,Ghost's interaction with audio box is displayed here.,Translates your date’s body movement into words.,オーディオボックスからのインタラクションがここに表示されます。
thermo,Display status from a thermometer.,Display status from a thermometer.,ここに温度計の測定値が表示されます。
elementstitle,On-screen Icons:-,On-screen Icons:-,画面上のアイコン:-
icon1,This icon appears if you have near a door of path that leads to another room.,This icon appears if you have near a door of path that leads to another room.,別の部屋に入ることができる場合、このアイコンが表示されます。
icon2,Ted comments on objects if 'Interact' key is pressed.,Ted comments on objects if 'Interact' key is pressed.,オブジェクトと対話することができます。
icon3,"If the object can be picked or have further interactions, this icons appears.","If the object can be picked or have further interactions, this icons appears.",オブジェクトを拾ったり、その他のインタラクションを行ったりします。
icon4,Usually just NPC's talking with Ted. In some case display's interactions with Luna.,Usually just NPC's talking with Ted. In some case display's interactions with Luna.,プレイヤーはNPCと話したり、新兵と特別なやり取りをしたりできます。
icon5,Available hiding spots during a hunt. Avoid dropping object near it.,Hide from your date.,この場所に隠れることができます。
buytitle,Buy Equipments:-,Buy Toys:-,機器を購入する：-
buytext1,"During an investigation, we can ask Luna buy equipment for us. You will lose your equipment if you used them or failed a contract.",You will need some toys for your date. Ask Luna to buy them for you. If you fail a date you will lose all your toys outside of the truck.,調査中につきこに装備を購入してもらいます。契約に失敗すると、トラックの外にある装備を失います。
cctvtitle,CCTV Computer:-,Recording Computer:-,CCTVコンピュータ：-
cctv1,You can access CCTV menu with your computer during the investigation. You have to place a video camera before. There are four camera you can place at a time.,Place video camera anywhere and spy on your date from your computer. You can use 4 camera at a time.,このコンピュータを使用してセットアップしたすべてのビデオ カメラにアクセスできます。一度に設定できるのは 4 つです。
cctv2,DO NOT press 'End Investigation' if you haven't captured the ghost yet. It will take you to contract evaluation screen.,DO NOT press 'End Investigation'. It will end your date and get receipt page for that date.,幽霊を捕まえていない場合は、調査を終了しないでください。契約は終了しますが、幽霊を捕まえてもお金はもらえません。
evadetitle,Evading Ghost:-,Ghosting Date,回避幽霊：-
evade1,"If a ghost is on hunt you can get out of it's side and hide in safe places like closet, bookshelves or under the bed. If a ghost see you while hiding you will be notified that you have been spotted.","If your date wants to fuck you, you can hide in closet or under the bed. If she sees you while hiding you will be notified.",幽霊狩りをするときは、隠れる場所を見つけてください。隠れているときに幽霊があなたを見つけると、ゲームはあなたが見られたことを通知します。
evade2,"If a ghost is able to catch you on a hunt, you can burn a incense stick to get yourself out of it's grasp. It will immediately end a hunt.","If your date is going rough with you, you can use a incense stick to distract her for a while. It will stop her from fucking you.",幽霊に捕まった場合は、線香を使って逃げてください。これで狩りは終了します。
evade3,Note:- You can't go back in the truck during a hunt.,Note:- Luna will close the truck door out of jealousy if your date want to fuck you.,注: - 狩りが始まるとトラックに戻ることはできません。
haunttitle,Haunt Room:-,Picking Room:-,部屋に出没する：-
haunt1,"Once the game has begun a ghost will randomly select any room in the site to haunt it. You can find the room using thermometer. If power breaker is on, ghost room will have lower temperatures compare to other room.","Once you arrived, your date will pick a room she wants to be fucked in. She will turn the temperature down to feel your body warmth.",ゲームが開始されると、ゴーストは出没する部屋をランダムに選択します。温度計を使ってゴーストルームを見つけることができます。電源がオンの場合、ゴーストルームの温度は低くなります。
haunt2,Do not get confused if the thermometer shows negative temperature for sometime. A ghost must have past you. You can also use this glicth in thermometer to get approximate spawn point of ghost in the room. It's necessary if you want to find some evidences like ghost orb or capture ghosts using some methods.,Your date is invisible for sometime. You can try to find her exact location using the glitch in thermometer.,時々、ゴーストがあなたの前を通り過ぎると、温度計が故障します。これを使用して、ゴーストのスポーンポイントを特定することができます。これは、ゴーストオーブを見つけたり、いくつかの方法を使用してゴーストを捕まえたりするために必要です。
wantertitle,Wandering State:-,Wandering Date:-,放浪状態：-
wander1,"Until your fear meter is increased to 50% ghost will remain in wandering state. In this state it roam around the house doing various activities such as throwing objects, interacting with TV, turning on sink faucet, etc.",Until your date’s horniness meter is upto 50% she will look for things around the house to get her aroused.,ほとんどの幽霊はあなたの恐怖が 50% に達するまでその場所を徘徊します。この間、彼らは物を投げたり、蛇口をひねったり、テレビを回したりするなど、さまざまな活動を行います。
wander2,You can safely move around the house in this state and collect the necessary evidences to identify the ghost type.,You can freely move around during this time and collect evidences to know the type of your date.,ゴーストが徘徊状態でも安全に移動して証拠を集めることができます。
hunttitle,Hunting State:-,Fuck Time:-,狩猟状態：-
hunt1,"Once the fear meter is more than 50% if will try to hunt you. Hunt chances increases with percentage of fear meter. Ghost will be visible in this state. If you are not planning to capture it, it's best if you just hide after seeing the warning message.","Once your date is horny, she will try to fuck you even if your dick breaks. If you are not planning on getting fucked it’s better to hide away from her.",恐怖メーターが50%に達すると、ゴーストがあなたを狩ろうとします。この間、幽霊を見ることができます。捕まえる予定がない場合は、狩りが終わるまで隠れてください。
hunt2,Check the 'Evading Ghost' option to know more about hiding place.,Check the 'Ghosting Date' option to know more about hiding place.,隠れ場所について詳しく知りたい場合は、「回避幽霊」オプションをチェックしてください。
hunt3,If you want to learn more about capturing ghost check 'Investigation' tab.,If you want to learn more about capturing ghost check 'Date Ghost' tab.,幽霊について知りたい場合は、「調査」タブに移動してください。
hunt4,Note:- Hunt threshold may vary for some ghosts.,Note:- Sex threshold may vary for some ghost.,注: -恐怖の閾値は一部の幽霊によって異なる場合があります。
identifytitle,1. Identify ghost type,1.Identify your date,1.幽霊の種類を特定する
findevititle,a. Finding evidence.,a. Finding evidence.,a.証拠の発見
uvprints,1.UV prints,1.UV prints,1.紫外線マーク
writing,2.Writing,2.Erotic Drawings,2.書き込み
ghostorbs,3.Ghost Orbs,3.Ghost orbs,3.ゴーストオーブ
freezingtemp,4.Freezing Temperature,4.Freezing Temperature,4.氷点下温度
audiores,5.Audio Response,5.Audio Response,5.音声応答
emflevel,6.EMF Lvl.4-5,6.EMF Lvl.4-5,6.EMFレベル4-5
apparition,7.Apparition,7.Little  Glimpse,7.レーザーの外観
markghost,2. Marking evidences and ghost.,2. Marking evidence and your date.,2.証拠とゴーストをマーキングします。
capghost,3. Capturing ghost.,3. Catching your date.,3.幽霊を捕まえる。
knockghost,a. Knocking a ghost,a. Making her spread.,a.幽霊をノックダウンする。
bangghost,b. Bang away a ghost,b. Fuck your date,b.幽霊とセックスする。
endinvest,c. End Investigation,c. End date,c.調査を終了します。
behaviour,b. Learn ghost's behaviour.,b. Learn date’s behaviour.,b. 幽霊の行動を学ぶ。
markghosttitle,Marking evidence and ghost:-,Marking evidence and your date:-,証拠とゴーストをマーキングし:-
markghost1,"You must mark a ghost before trying to capture it or you will lose some reward money. As you can see in the image above, mark any evidence you get on the left side to shortlist ghost types. Depending upon behaviours you have observed, select the ghost type by clicking the name on right. It should display it's name on top right corner.",You must find our what your date like before tying to fuck her or you will not get an extra bonus. Tick the correct evidence to shortlist your date type. Then depending on the behaviour you have seen select the ghost from the list.,捕獲する前に幽霊をマークする必要があります。そうしないと、幽霊を識別するためにお金を得ることができません。ご覧のとおり、左側のページで見つかったすべての証拠を選択して、右側のページで特定のゴーストを選択します。右上に表示されます。
knockghosttitle,Knocking a ghost:-,Making her spread:-,幽霊をノックダウン:-
knockghost1,Tools required to knock a ghost is written in 'Ghostpedia'. There are 6 banishment tools in total. You will have to use correct one for weaken a ghost. ,Tools to woo a ghost is written in ‘Ghostpedia’. There are 6 sex toys you can use. Using correct one will bring a ghost in the mood.,各ゴーストは6つの追放ツールすべてから特定のツールに対して弱い場合があります。ゴーストの弱点については「幽霊情報」をチェックしてください。
knockghost2,1. Cummed Salt,1. Cummed Salt,1.精液塩
knockghost3,2. Cursed Dagger,2. Cursed Dildo,2.呪われたダガー
knockghost4,3. Dark Mirror,3. Dark Mirror,3.黒い鏡
knockghost5,4. Candles,4. Wax Dildos,4.2本のキャンドル
knockghost6,5. Cum Water,5. Plain Cum,5.精液水
knockghost7,6. Special Rope,6. Bondage Rope,6.特別なロープ
knockghost8,For more details about process check each tool in 'Tools' tab.,For more details about process check each tool in 'Toys' tab.,詳細については、「ツール」タブを確認してください。
knockghost9,Note:- Using an incorrect tool will end investigation.,Note:- Using an incorrect tool will end date.,注: - 間違ったツールを使用すると、契約は失敗します。
bangghosttitle,Bang away a ghost:-,Fuck your date,幽霊とセックス:-
bangghost1,"Once a ghost is on the ground, press 'Hunt' near it to try to capture it. You have to fill up climax bar by adjusting speed of the animations using up and down key.","Once she spreads up, press ‘Hunt’ button near her to fuck her. You have to make her cum by adjusting your fuck speed with Up and Down key.",ゴーストがダウンしている場合は、その近くの「X」を押してキャプチャしてみます。「W」キーと「S」キーを押して、クライマックスバーを満たすように速度を調整します。
bangghost2,Climax Bar,Climax Bar,クライマックスバー
bangghost3,Speed Handler,Fuck Speed,スピードハンドル
bangghost4,"This consumes stamina so if you run out of it ghost will escape and return to it's wandering state. However, if you completely fill up climax bar ghost will slowly fade away.",If you run out of stamina during sex she will get bored and return to wandering state. If you satisfy her she will go come to your home for more.,スタミナを消費するので、スタミナがなくなるとゴーストが逃げてしまいます。クライマックスバーを完全に埋めるとゴーストが捕らえられます。
endinvesttitle,End Investigation:-,End Date:-,調査を終了し:-
endinvest1,"Well done, the site is safe to wander now. You look for any collectibles on the site or just go back to your computer and press 'End Investigation' to complete the contract.","Well done! You can now freely roam the site looking for something valuable, fuck Luna all night or just go home to rest. Access your computer and press ‘End Investigation’.",よくやった! これで収集品を探すことができます。そうでない場合は、CCTV コンピューターにアクセスして家に帰ることができます。
tooltitle1,A) Evidence Tools:-,A) Evidence Toys:-,A)証拠ツール:-
tooltitle2,B) Banishment Tools:-,B) Sex Toys:-,B)追放ツール:-
tooltitle3,C) Other Tools:-,C) Other Toys:-,C)その他のツール:-
toolleftname1,1.Video Camera,1.Spy Camera,1.ビデオカメラ
toolleftname2,2.Thermometer,2.Thermometer,2.温度計
toolleftname3,3.UV Flashlight,3.UV Flashlight,3.UVトーチ
toolleftname4,4.Laser Grid Projector,4.Laser Grid Projector,4.レーザーグリッド
toolleftname5,5.EMF Sensor,5.Hotness Sensor,5.EMFリーダー
toolleftname6,6.Notebook,6.Sex Diary,6.ゴーストブック
toolleftname7,7. Audio Box,7. Audio Box,7.オーディオボックス
toolleftname8,1.Cursed Dagger,1.Cursed Dildo,1.呪われたダガー
toolleftname9,2.Cummed Salt,2.Cummed Salt,2.精液塩
toolleftname10,3.Dark Mirror,3.Dark Mirror,3.黒い鏡
